fecha,FlujoMaximo,flujoPromedio,NroLecturas,NroEquipos
04/06/2017,1169,474
05/06/2017,1844,708
06/06/2017,3392,1527
07/06/2017,1558,684
08/06/2017,768,292
09/06/2017,990,369
10/06/2017,458,272
11/06/2017,282,209
12/06/2017,725,320,62,1
13/06/2017,748,344,64,1
14/06/2017,3557,811,60,1
15/06/2017,1797,365,54,1
16/06/2017,606,323,60,1
17/06/2017,1202,420,60,1
18/06/2017,793,394,64,1
19/06/2017,860,304,59,1
20/06/2017,1378,391,64,1
21/06/2017,1083,345,61,1
22/06/2017,1358,353,64,1
23/06/2017,2372,641,63,1
24/06/2017,5703,1845,62,1
25/06/2017,2750,1317,61,1
26/06/2017,535,240,60,1
27/06/2017,1415,620,63,1
28/06/2017,931,420,61,1
29/06/2017,376,183,61,1
30/06/2017,943,583,43,1
01/07/2017,1472,483,51,1
02/07/2017,312,207,54,1
03/07/2017,963,317,42,1
04/07/2017,968,217,41,1
05/07/2017,2239,960,49,1
06/07/2017,1216,431,54,1
07/07/2017,947,307,61,1
08/07/2017,216,116,32,1
09/07/2017,1666,404,34,1
10/07/2017,2500,700,35,1
11/07/2017,2157,761,53,1
12/07/2017,997,476,47,1
13/07/2017,1309,366,51,1
14/07/2017,1063,323,60,1
15/07/2017,390,169,55,1
16/07/2017,2959,841,58,1
17/07/2017,1054,395,59,1
18/07/2017,291,116,60,1
19/07/2017,392,187,40,1
20/07/2017,802,195,30,1
21/07/2017,1945,580,55,1
22/07/2017,2120,869,61,1
23/07/2017,2692,642,48,1
24/07/2017,2527,906,54,2
25/07/2017,1385,564,46,2
26/07/2017,1824,691,47,2
27/07/2017,1447,547,51,2
28/07/2017,2530,782,54,2
29/07/2017,2503,635,37,2
30/07/2017,1051,514,48,2
31/07/2017,1774,717,55,2
01/08/2017,1154,634,48,2
02/08/2017,1773,393,43,2
03/08/2017,1428,592,54,2
04/08/2017,2254,889,51,2
05/08/2017,1971,748,56,2
06/08/2017,1594,511,55,2
07/08/2017,774,376,55,2
08/08/2017,912,462,36,2
09/08/2017,891,443,55,2
10/08/2017,674,355,52,2
11/08/2017,521,335,45,2
12/08/2017,824,268,42,2
13/08/2017,594,251,52,2
14/08/2017,1174,408,52,2
15/08/2017,949,382,55,2
16/08/2017,1291,364,52,1
17/08/2017,404,241,42,1
18/08/2017,402,224,64,2
19/08/2017,1116,257,88,3
20/08/2017,1898,279,79,2
21/08/2017,602,163,83,3
22/08/2017,1252,203,91,3
23/08/2017,1687,195,100,3
24/08/2017,825,231,97,2
25/08/2017,608,149,104,2
26/08/2017,2368,688,52,3
27/08/2017,1192,938,8,3
28/08/2017,1593,646,44,3
29/08/2017,796,307,52,3
30/08/2017,3329,749,24,3
31/08/2017,2817,526,95,3
01/09/2017,2970,820,68,3
02/09/2017,1497,557,40,2
