fecha,hora,cantidad,otro1,otro2,otro3,otro4
06/02/2017,05:45:00.00,1517160.85969,1.51716,50.85495,100.21602,2000.00000
07/02/2017,03:20:00.00,29012669.80475,29.01267,6.86408,80.50111,2236.06800
07/02/2017,06:25:00.00,6673630.68464,6.67363,32.86377,82.26023,1414.21360
09/02/2017,03:10:00.00,8046658.82862,8.04666,32.77478,82.37066,2236.06800
09/02/2017,06:15:00.00,6551622.84922,6.55162,6.94964,80.84612,1414.21360
11/02/2017,06:00:00.00,4515961.90635,4.51596,21.34445,98.91680,1414.21360
12/02/2017,03:40:00.00,11119744.21098,11.11974,33.31231,99.42647,2236.06800
12/02/2017,06:45:00.00,1029947.75311,1.02995,57.19483,83.42143,2000.00000
13/02/2017,02:45:00.00,1362199.13546,1.36220,62.41003,84.21154,2236.06800
13/02/2017,05:50:00.00,6048087.95963,6.04809,42.98398,99.79401,1414.21360
19/02/2017,03:45:00.00,2446927.40775,2.44693,43.05166,99.97891,2000.00000
20/02/2017,05:55:00.00,3280722.83959,3.28072,33.18494,99.36263,1414.21360
27/02/2017,06:00:00.00,17880349.27576,17.88035,21.27107,98.91611,2236.06800
01/03/2017,05:50:00.00,3796367.30924,3.79637,42.94315,99.79629,1414.21360
03/03/2017,05:40:00.00,7077841.94484,7.07784,57.12932,100.73475,2236.06800
08/03/2017,05:55:00.00,1964149.07885,1.96415,33.13139,99.35518,1414.21360
11/03/2017,03:20:00.00,1922006.18238,1.92201,6.85453,80.47485,1414.21360
13/03/2017,06:15:00.00,18437095.38009,18.43710,7.30110,80.88770,1414.21360
15/03/2017,02:55:00.00,12797793.14546,12.79779,50.72226,83.34187,3605.55130
15/03/2017,06:00:00.00,26486197.06757,26.48620,20.91936,98.88701,1414.21360
16/03/2017,03:40:00.00,14305534.01933,14.30553,33.30467,99.44587,2236.06800
16/03/2017,06:45:00.00,769223.05856,0.76922,57.34432,83.44418,2236.06800
17/03/2017,05:50:00.00,9733408.38526,9.73341,42.63068,99.76239,2236.06800
18/03/2017,03:30:00.00,16531895.39060,16.53190,7.68759,97.69119,2828.42710
18/03/2017,06:35:00.00,1954345.39849,1.95435,43.10910,82.68791,2000.00000
20/03/2017,03:15:00.00,4311121.85678,4.31112,20.74141,81.71734,1414.21360
20/03/2017,06:20:00.00,5893385.66861,5.89339,21.40661,81.86706,1414.21360
24/03/2017,05:55:00.00,8518711.21715,8.51871,32.57901,99.31530,1414.21360
25/03/2017,03:35:00.00,9073956.27638,9.07396,21.38547,98.79326,2236.06800
25/03/2017,06:40:00.00,705795.99407,0.70580,51.14966,83.08524,2000.00000
26/03/2017,05:45:00.00,14748341.60818,14.74834,50.36328,100.16805,2236.06800
27/03/2017,03:20:00.00,16072114.90130,16.07211,6.92855,80.47396,1414.21360
29/03/2017,06:15:00.00,524765.06317,0.52477,7.94079,81.00808,1000.00000
30/03/2017,03:50:00.00,10749842.43690,10.74984,50.83332,100.49705,2236.06800
02/04/2017,05:50:00.00,34178254.48086,34.17825,42.44186,99.73784,2236.06800
03/04/2017,03:30:00.00,33390496.99562,33.39050,7.56495,97.63350,2236.06800
05/04/2017,03:15:00.00,31421234.74370,31.42123,20.86773,81.71969,2828.42710
05/04/2017,06:20:00.00,18911103.93391,18.91110,21.43056,81.88600,2000.00000
06/04/2017,04:00:00.00,1995086.60220,1.99509,57.09522,100.98353,2000.00000
07/04/2017,03:05:00.00,632810.15273,0.63281,42.83417,82.87183,2236.06800
08/04/2017,03:45:00.00,19808667.61200,19.80867,42.91567,99.97433,2236.06800
08/04/2017,06:50:00.00,2176685.70595,2.17669,62.61310,83.86534,2236.06800
09/04/2017,02:50:00.00,3051779.44066,3.05178,57.22926,83.78945,2828.42710
09/04/2017,05:55:00.00,17438612.30184,17.43861,32.82502,99.31918,2000.00000
10/04/2017,03:35:00.00,23899979.35672,23.89998,21.21540,98.77696,2236.06800
10/04/2017,06:40:00.00,19925772.19258,19.92577,50.96892,83.07828,3000.00000
11/04/2017,05:45:00.00,19261868.24286,19.26187,50.62433,100.18022,2236.06800
11/04/2017,15:10:00.00,11089586.68033,11.08959,6.09214,81.05194,1414.21360
12/04/2017,03:20:00.00,2021593.81630,2.02159,7.12448,80.51649,1414.21360
13/04/2017,05:30:00.00,32257298.79077,32.25730,62.21726,101.08569,4123.10560
14/04/2017,03:10:00.00,39224704.35534,39.22470,32.97586,82.36228,3162.27770
14/04/2017,06:15:00.00,10540292.68313,10.54029,7.24906,80.91331,1000.00000
15/04/2017,03:50:00.00,13241863.62066,13.24186,50.76550,100.48847,2236.06800
16/04/2017,02:55:00.00,1612485.17104,1.61249,50.82518,83.35001,2828.42710
16/04/2017,06:00:00.00,19295946.40928,19.29595,21.05855,98.87863,2000.00000
19/04/2017,03:30:00.00,10527598.88696,10.52760,7.51012,97.62312,2236.06800
19/04/2017,06:35:00.00,1049460.23718,1.04946,42.96109,82.69106,1414.21360
20/04/2017,05:40:00.00,29633431.86915,29.63343,57.02672,100.62366,4123.10560
20/04/2017,15:00:00.00,11348625.04772,11.34863,8.37743,98.38632,1414.21360
21/04/2017,03:15:00.00,39997798.73232,39.99780,20.86948,81.72196,2828.42710
21/04/2017,06:20:00.00,13687492.99422,13.68749,21.10210,81.86852,1414.21360
22/04/2017,04:00:00.00,7275080.35189,7.27508,57.09217,100.98553,2828.42710
23/04/2017,03:10:00.00,15461657.45858,15.46166,42.81230,82.87583,2828.42710
23/04/2017,06:10:00.00,6683612.06033,6.68361,7.27236,97.92468,1414.21360
25/04/2017,02:50:00.00,14179471.64773,14.17947,57.19154,83.78799,3162.27770
25/04/2017,05:55:00.00,7801875.57208,7.80188,32.99809,99.32919,2236.06800
26/04/2017,03:35:00.00,19626473.46988,19.62647,21.30866,98.78284,2236.06800
26/04/2017,06:40:00.00,11997366.93562,11.99737,50.91450,83.07110,2236.06800
28/04/2017,03:20:00.00,30638124.64508,30.63812,6.98068,80.49797,2828.42710
28/04/2017,06:25:00.00,5381449.89196,5.38145,33.09568,82.29387,1414.21360
29/04/2017,05:30:00.00,436244.19277,0.43624,62.24407,101.08777,1000.00000
01/05/2017,03:50:00.00,3189799.91671,3.18980,50.80981,100.49184,1000.00000
02/05/2017,06:00:00.00,1226801.59101,1.22680,21.13180,98.88216,1414.21360
03/05/2017,03:40:00.00,15571275.56694,15.57128,33.21625,99.43081,2236.06800
03/05/2017,06:45:00.00,25244533.05055,25.24453,57.29962,83.45339,5099.01950
04/05/2017,02:45:00.00,2757920.00696,2.75792,62.45563,84.20073,2236.06800
